Column1,cbe_number,cbe_number_formatted,denomination,denomination_with_legal_form,juridical_form,juridical_form_short,juridical_form_id,start_date,address.street,address.street_number,address.box,address.post_code,address.city,address.full_address,contact_infos.email,contact_infos.phone,contact_infos.web,Company Name,valid address
101,426531863,426.531.863,AON BELGIUM,AON BELGIUM SRL,Société à responsabilité limitée,SRL,129,02/04/1984,Telecomlaan,05-Jul,,1831,Machelen (Brab.),Telecomlaan 5-7 1831 Machelen (Brab.),,,,AON BELGIUM,Yes
102,401277914,401.277.914,APERAM STAINLESS BELGIUM,APERAM STAINLESS BELGIUM SA,Société anonyme,SA,12,10/03/1961,Swinnenwijerweg,5,,3600,Genk,Swinnenwijerweg 5 3600 Genk,helga.baeten@aperam.com,089 365600,,APERAM STAINLESS BELGIUM,Yes
103,447875427,447.875.427,APOK,APOK SA,Société anonyme,SA,12,26/06/1992,Oudestraat,11,,1910,Kampenhout,Oudestraat 11 1910 Kampenhout,,,,APOK,Yes
104,440691388,440.691.388,AQUAFIN,AQUAFIN SA,Société anonyme,SA,12,25/04/1990,Dijkstraat,8,,2630,Aartselaar,Dijkstraat 8 2630 Aartselaar,,,,AQUAFIN,Yes
105,426682709,426.682.709,ARCADIS BELGIUM,ARCADIS BELGIUM SA,Société anonyme,SA,12,02/01/1985,Rue du Marquis,1,,1000,Bruxelles,Rue du Marquis 1 1000 Bruxelles,,,,ARCADIS BELGIUM,Yes
106,642639648,642.639.648,ARCADIS BELGIUM - NEY & PARTNERS,ARCADIS BELGIUM - NEY & PARTNERS Société ou association sans personnalité juridique,Société ou association sans personnalité juridique,Société ou association sans personnalité juridique,141,04/11/2015,Borsbeeksebrug,22,,2600,Antwerpen,Borsbeeksebrug 22 2600 Antwerpen,0486 642 981,0486 642 981,,ARCADIS BELGIUM,Yes
107,683608983,683.608.983,THV Antea Belgium - Arcadis Belgium - Sweco Belgium,THV Antea Belgium - Arcadis Belgium - Sweco Belgium Société ou association sans personnalité juridique,Société ou association sans personnalité juridique,Société ou association sans personnalité juridique,141,02/06/2017,Roderveldlaan,1,,2600,Antwerpen,Roderveldlaan 1 2600 Antwerpen,Ann.Hostyn@anteagroup.com,03/221.55.00,,ARCADIS BELGIUM,Yes
108,469101403,469.101.403,Cultural African Arts and Development,Cultural African Arts and Development ASBL,Association sans but lucratif,ASBL,15,01/09/1999,Lange Riddersstraat,62,6,2000,Antwerpen,Lange Riddersstraat 62 6 2000 Antwerpen,,476553655,,ARHS Developments Belgium,Yes
109,436781102,436.781.102,ARVAL BELGIUM,ARVAL BELGIUM SA,Société anonyme,SA,12,16/02/1989,Ikaroslaan,99,,1930,Zaventem,Ikaroslaan 99 1930 Zaventem,,,,ARVAL BELGIUM,Yes
110,462097706,462.097.706,ARVESTA LOGISTICS,ARVESTA LOGISTICS SRL,Société à responsabilité limitée,SRL,129,12/12/1997,Aarschotsesteenweg,84,,3012,Leuven,Aarschotsesteenweg 84 3012 Leuven,,,,Arvesta Belgium,Yes
111,466854268,466.854.268,Sociaal Fonds Arvesta,Sociaal Fonds Arvesta ASBL,Association sans but lucratif,ASBL,15,12/04/1999,Aarschotsesteenweg,84,,3012,Leuven,Aarschotsesteenweg 84 3012 Leuven,,,,Arvesta Belgium,Yes
112,441428489,441.428.489,ASCO INDUSTRIES,ASCO INDUSTRIES SA,Société anonyme,SA,12,28/09/1990,Weiveldlaan,2,,1930,Zaventem,Weiveldlaan 2 1930 Zaventem,,,,ASCO INDUSTRIES,Yes
113,432549427,432.549.427,ASTRA SWEETS,ASTRA SWEETS SA,Société anonyme,SA,12,20/11/1987,Bleukenlaan,18,,2300,Turnhout,Bleukenlaan 18 2300 Turnhout,,,,ASTRA SWEETS,Yes
114,400165679,400.165.679,AstraZeneca,AstraZeneca SA,Société anonyme,SA,12,28/11/1948,Alfons Gossetlaan,40,201,1702,Dilbeek,Alfons Gossetlaan 40 201 1702 Dilbeek,,,,AstraZeneca,Yes
115,452299023,452.299.023,FOUNDATION AstraZeneca,FOUNDATION AstraZeneca Fondation d'utilité publique,Fondation d'utilité publique,Fondation d'utilité publique,26,10/03/1994,Alfons Gossetlaan,40,201,1702,Dilbeek,Alfons Gossetlaan 40 201 1702 Dilbeek,,,,AstraZeneca,Yes
116,470330234,470.330.234,ASTRAZENECA UK LTD,ASTRAZENECA UK LTD Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,08/02/2000,FRANCIS CRICK AVENUE,1,,CB2 OAA,CAMBRIDGE,FRANCIS CRICK AVENUE 1 CB2 OAA CAMBRIDGE,,+44 2037495000,,AstraZeneca,No
117,635486986,635.486.986,ASTRAZENECA DUNKERQUE PRODUCTION SCS,ASTRAZENECA DUNKERQUE PRODUCTION SCS,Entité étrangère,,27,12/08/2015,AVENUE DE LA DORDOGNE,224,41,59640,DUNKERQUE,AVENUE DE LA DORDOGNE 224 41 59640 DUNKERQUE,+33 328586842,+33 328586842,,AstraZeneca,No
118,425260272,425.260.272,ATHLON CAR LEASE BELGIUM,ATHLON CAR LEASE BELGIUM SA,Société anonyme,SA,12,01/01/1984,Peutiesesteenweg,115,,1830,Machelen (Brab.),Peutiesesteenweg 115 1830 Machelen (Brab.),,,,ATHLON CAR LEASE BELGIUM,Yes
119,439308644,439.308.644,ATHLON CAR LEASE RENTAL SERVICES BELGIUM,ATHLON CAR LEASE RENTAL SERVICES BELGIUM SA,Société anonyme,SA,12,19/12/1989,Peutiesesteenweg,115,,1830,Machelen (Brab.),Peutiesesteenweg 115 1830 Machelen (Brab.),,,,ATHLON CAR LEASE BELGIUM,Yes
120,403992231,403.992.231,Atlas Copco Airpower,Atlas Copco Airpower SA,Société anonyme,SA,12,21/06/1937,Boomsesteenweg,957,,2610,Antwerpen,Boomsesteenweg 957 2610 Antwerpen,,,,Atlas Copco Airpower,Yes
121,452503614,452.503.614,ATLAS COPCO RENTAL EUROPE,ATLAS COPCO RENTAL EUROPE SA,Société anonyme,SA,12,05/04/1994,Industrieweg,1 F,,2850,Boom,Industrieweg 1 F 2850 Boom,,,,ATLAS COPCO RENTAL EUROPE,Yes
122,403075580,403.075.580,AURUBIS BEERSE,AURUBIS BEERSE SA,Société anonyme,SA,12,10/11/1919,Nieuwe dreef,33,,2340,Beerse,Nieuwe dreef 33 2340 Beerse,,,,AURUBIS BEERSE,Yes
123,403075580,403.075.580,AURUBIS BEERSE,AURUBIS BEERSE SA,Société anonyme,SA,12,10/11/1919,Nieuwe dreef,33,,2340,Beerse,Nieuwe dreef 33 2340 Beerse,,,,AURUBIS OLEN,Yes
124,441511237,441.511.237,AUTO 50 ROELANS,AUTO 50 ROELANS SA,Société anonyme,SA,12,03/10/1990,Chaussée d'Anvers,393,,1000,Bruxelles,Chaussée d'Anvers 393 1000 Bruxelles,,,,AUTO 5,Yes
125,447265812,447.265.812,AUTO 5,AUTO 5 SA,Société anonyme,SA,12,30/04/1992,Boulevard Paepsem,20,,1070,Anderlecht,Boulevard Paepsem 20 1070 Anderlecht,,,,AUTO 5,Yes
126,550996226,550.996.226,"Vereniging van Mede-eigenaars Residentie Sirenuse II, Mermaid II & complex auto- stand &bergplaatsen te 8620 Nieuwpoort, Zeedijk 54 / Albert I Laan 202","Vereniging van Mede-eigenaars Residentie Sirenuse II, Mermaid II & complex auto- stand &bergplaatsen te 8620 Nieuwpoort, Zeedijk 54 / Albert I Laan 202 Association des copropriétaires",Association des copropriétaires,Association des copropriétaires,32,01/08/1995,Zeedijk,54,,8620,Nieuwpoort,Zeedijk 54 8620 Nieuwpoort,,,,AUTO 5,Yes
127,414555036,414.555.036,Autogrill België,Autogrill België SA,Société anonyme,SA,12,26/09/1974,Luchthaven Brussel Nationaal,-,,1930,Zaventem,Luchthaven Brussel Nationaal - 1930 Zaventem,,,,Autogrill België,Yes
128,400824586,400.824.586,Autoveiligheid,Autoveiligheid SA,Société anonyme,SA,12,14/12/1949,Brusselsesteenweg,460,,2800,Mechelen,Brusselsesteenweg 460 2800 Mechelen,,,,Autoveiligheid,Yes
129,404754274,404.754.274,AVA - PAPIERWAREN,AVA - PAPIERWAREN SA,Société anonyme,SA,12,21/09/1956,Kapelanielaan,6,,9140,Temse,Kapelanielaan 6 9140 Temse,,0032 3 771 55 91,,AVA - PAPIERWAREN,Yes
130,414794368,414.794.368,AVERY DENNISON BELGIE,AVERY DENNISON BELGIE SRL,Société à responsabilité limitée,SRL,129,14/11/1974,Tieblokkenlaan,1,,2300,Turnhout,Tieblokkenlaan 1 2300 Turnhout,,,,AVERY DENNISON BELGIE,Yes
131,404529392,404.529.392,Aviapartner Belgium,Aviapartner Belgium SA,Société anonyme,SA,12,17/01/1961,Luchthaven Brussel Nationaal,zn,,1930,Zaventem,Luchthaven Brussel Nationaal zn 1930 Zaventem,,,,Aviapartner Belgium,Yes
132,472811355,472.811.355,AXALTA COATING SYSTEMS GERMANY GMBH & CO KG,AXALTA COATING SYSTEMS GERMANY GMBH & CO KG Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,Entité étrangère sans établissement belge avec représentant responsable TVA,64,22/09/2000,Christ Busch,25,,42285,Wuppertal,Christ Busch 25 42285 Wuppertal,,,,Axalta Coating Systems Belgium,No
133,669748178,669.748.178,Axalta Coating Systems UK Holding Limited,Axalta Coating Systems UK Holding Limited,Entité étrangère,,27,19/01/2017,"Unit 1 Quadrant Park, Mundells",xx,,AL7 1FS,Hertfordshire,"Unit 1 Quadrant Park, Mundells xx AL7 1FS Hertfordshire",,,,Axalta Coating Systems Belgium,No
134,407653980,407.653.980,AXI,AXI SA,Société anonyme,SA,12,01/12/1970,Molenweg,107,,2830,Willebroek,Molenweg 107 2830 Willebroek,,,,AXI,Yes
135,447817722,447.817.722,AXI,AXI SPRL,Société privée à responsabilité limitée,SPRL,13,03/07/1992,Tiensestraat,79,,3200,Aarschot,Tiensestraat 79 3200 Aarschot,,,,AXI,Yes
136,543488723,543.488.723,AXI,AXI Unité TVA,Unité TVA,Unité TVA,3,01/01/2014,Mannebeekstraat,31,,8790,Waregem,Mannebeekstraat 31 8790 Waregem,,056/622147,,AXI,Yes
137,649706592,649.706.592,AXIS DEVELOPMENT IT,AXIS DEVELOPMENT IT SPRL,Société privée à responsabilité limitée,SPRL,13,08/03/2016,"Rue de Tourinnes,H.-M.",18,,1320,Beauvechain,"Rue de Tourinnes,H.-M. 18 1320 Beauvechain",tahar.alkaissi@gmail.com,10439741,,AXI,No
138,660828930,660.828.930,AXIS BELGIUM,AXIS BELGIUM SPRL,Société privée à responsabilité limitée,SPRL,13,10/08/2016,Avenue Ginette Javaux,10,10,1160,Auderghem,Avenue Ginette Javaux 10 10 1160 Auderghem,,,,AXI,Yes
139,677922805,677.922.805,AXIS PARC FUND,AXIS PARC FUND SA,Société anonyme,SA,12,05/07/2017,Boulevard Saint-Lazare,4,10,1210,Saint-Josse-ten-Noode,Boulevard Saint-Lazare 4 10 1210 Saint-Josse-ten-Noode,,,,AXI,Yes
140,681774594,681.774.594,Axis Real Estate,Axis Real Estate SRL,Société à responsabilité limitée,SRL,129,26/09/2017,Rue du Fond Cattelain,1,8,1435,Mont-Saint-Guibert,Rue du Fond Cattelain 1 8 1435 Mont-Saint-Guibert,,,,AXI,No
141,681788353,681.788.353,"Axinia, Nicolae","Axinia, Nicolae",,,,,Rond-Point du Pannenhuis,7,1,1090,Jette,Rond-Point du Pannenhuis 7 1 1090 Jette,,,,AXI,Yes
142,683689652,683.689.652,AXIE,AXIE SNC,Société en nom collectif,SNC,9,25/10/2017,Bredabaan,1053,,2930,Brasschaat,Bredabaan 1053 2930 Brasschaat,,,,AXI,Yes
143,684702115,684.702.115,"Axinia, Nicolae","Axinia, Nicolae",,,,,Rue Vanderschrick,115,4,1060,Saint-Gilles,Rue Vanderschrick 115 4 1060 Saint-Gilles,,,,AXI,Yes
